n,t,Run 1,Run 2,Run 3
25000,1,10.467436,10.891723,10.215125
25000,2,6.417412,6.140662,5.821046
25000,4,4.566034,4.311173,4.602748
25000,8,3.998888,3.953842,3.906148
25000,16,3.139584,4.064189,3.823311
25000,32,3.868389,3.407589,3.180936
25000,64,3.42809,3.276532,3.468997
