n,t,Run 1,Run 2,Run 3
25000,1,25.220628,12.288057,17.345881
25000,2,10.230268,15.325768,10.102445
25000,4,9.504343,9.338652,15.257541
25000,8,16.459457,9.211080,9.032193
25000,16,8.976691,8.923049,8.875449
25000,32,8.778849,8.991464,9.069430
25000,64,18.290557,16.398823,9.810793
