n,t,Run 1,Run 2,Run 3,Average
4000,2,3.492275,3.488090,3.488070,3.489478
4000,4,4.604169,4.602977,4.604120,4.603755
4000,8,4.623969,4.623659,4.622151,4.623260
4000,16,4.666495,4.669302,4.674253,4.670017
8000,2,14.043327,14.044722,14.039439,14.042496
8000,4,18.393692,18.382864,18.389296,18.388617
8000,8,18.448129,18.456027,18.460562,18.454906
8000,16,18.757974,18.754635,18.758156,18.756922
16000,2,56.421922,56.424178,56.471193,56.439098
16000,4,ERROR,74.081839,74.043906,ERROR
16000,8,ERROR,ERROR,ERROR,ERROR
16000,16,ERROR,ERROR,74.455530,ERROR
