n,t,Run 1,Run 2,Run 3,Average
4000,2,0.317845,0.333227,0.320669,0.323914
4000,4,0.309517,0.298940,0.302894,0.303784
4000,8,0.340057,0.357706,0.346124,0.347963
4000,16,0.385058,0.376111,0.348195,0.369787
8000,2,1.263330,1.267283,1.272035,1.267550
8000,4,1.273975,1.223690,1.256014,1.251227
8000,8,1.365339,1.364613,1.315622,1.348523
8000,16,1.724139,1.726388,1.580692,1.677073
16000,2,5.591864,5.506351,5.366615,5.488267
16000,4,5.565536,5.529923,5.911825,5.669100
16000,8,5.711328,5.787095,5.732581,5.743667
16000,16,6.778037,6.777001,6.710546,6.755167
